@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.220136,0.352301,-0.096774,0.3515,0.290323,-0.996799,-0.999108,-0.007519,0.104707,-0.965137,0.239305,-0.926711,0.226024,-0.855557,NON_ULCER
-0.149972,0.006013,0.064516,0.005138,-0.072581,-0.973914,-0.985657,-0.082707,0.141131,-0.949119,-0.40796,-0.857013,-0.298965,-0.731878,NON_ULCER
0.045822,0.202269,0.032258,0.201425,0.129032,-0.995773,-0.997286,0.007519,0.130308,-0.845103,0.174102,-0.881459,0.445117,-0.856733,NON_ULCER
0.233697,0.364944,-0.064516,0.364355,0.282258,-0.992745,-0.996489,0.037594,0.140406,-0.907253,0.11572,-0.84511,0.311907,-0.845862,NON_ULCER
-0.67499,-0.604621,-0.193548,-0.605945,-0.572581,-0.991691,-0.991838,-0.218045,0.137779,-0.986058,0.257108,-0.902118,0.167083,-0.939248,NON_ULCER
-0.295203,-0.139206,0.032258,-0.14035,-0.209677,-0.997465,-0.997938,-0.052632,0.148984,-0.968219,-0.054685,-0.93163,0.338332,-0.784781,NON_ULCER
-0.711433,-0.627983,-0.096774,-0.628186,-0.669355,-0.959905,-0.961801,-0.308271,0.140762,-0.943932,-0.381996,-0.898379,0.205131,-0.877001,NON_ULCER
-0.653058,-0.566271,-0.129032,-0.567581,-0.58871,-0.988587,-0.988182,-0.293233,0.141161,-0.983794,-0.043865,-0.906839,0.175745,-0.94012,NON_ULCER
-0.431189,-0.293745,0,-0.294688,-0.274194,-0.988928,-0.99721,-0.157895,0.136103,-0.98476,0.253871,-0.9183,0.40561,-0.92394,NON_ULCER
-0.014761,0.143095,0,0.141992,0.177419,-0.994252,-0.997626,-0.007519,0.139586,-0.937781,0.094333,-0.924498,0.262582,-0.875316,NON_ULCER
0.208627,0.336604,-0.096774,0.335844,0.282258,-0.996056,-0.997322,-0.007519,0.128889,-0.958083,0.132946,-0.912152,0.059472,-0.8348,NON_ULCER
-0.189567,-0.017356,0.064516,-0.018261,-0.016129,-0.993782,-0.997981,-0.082707,0.126152,-0.988097,0.398843,-0.937926,0.279689,-0.923402,NON_ULCER
-0.442623,-0.288564,0.096774,-0.28931,-0.362903,-0.964626,-0.980374,-0.172932,0.140901,-0.970608,-0.267524,-0.879983,-0.0522,-0.69453,NON_ULCER
-0.658257,-0.577974,-0.16129,-0.579223,-0.524194,-0.977141,-0.964436,-0.263158,0.140123,-0.963343,0.082772,-0.888985,0.114336,-0.884682,NON_ULCER
0.158924,0.296268,-0.129032,0.295521,0.330645,-0.994239,-0.99507,0.007519,0.13563,-0.886722,-0.001882,-0.829222,0.390471,-0.85973,NON_ULCER
0.235719,0.357857,-0.16129,0.356458,0.298387,-0.998794,-0.999068,0.022556,0.114753,-0.949692,0.181848,-0.913381,0.326179,-0.863844,NON_ULCER
-0.440464,-0.290352,0.064516,-0.291171,-0.25,-0.984049,-0.996662,-0.142857,0.136856,-0.957148,-0.010985,-0.891001,0.34623,-0.896954,NON_ULCER
