@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-13,15-25,27-29,31-39,41-52,54-76,78-86,88-92,94-120,122-131,133-179,181-186'

@attribute color_bgr_g_intensity1 numeric
@attribute color_lab_a_mean numeric
@attribute color_lab_b_variance numeric
@attribute color_lab_l_intensity2 numeric
@attribute color_luv_u_variance numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_intensity1 numeric
@attribute color_norm_r_frequency1 numeric
@attribute haralick_lab_b_correlation numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_g_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.139442,-0.230807,-0.980935,0.258065,-0.904987,-0.99067,-0.54902,-0.744,-0.595486,-0.738712,-0.742795,ULCER
-0.370518,-0.18656,-0.98764,-0.193548,-0.970085,-0.991436,-0.490196,-0.84,-0.893837,-0.844475,-0.902975,ULCER
-0.52988,-0.096312,-0.968866,-0.362903,-0.841713,-0.993677,-0.421569,-0.784,-0.831427,-0.812769,-0.739853,ULCER
0.139442,-0.175375,-0.972876,0.282258,-0.960945,-0.995239,-0.529412,-0.944,-0.981449,-0.928319,-0.870467,ULCER
-0.450199,-0.185494,-0.943608,-0.33871,-0.959395,-0.988302,-0.45098,-0.816,-0.79718,-0.856015,-0.860248,ULCER
-0.378486,-0.041708,-0.74135,-0.282258,-0.692436,-0.977996,-0.411765,-0.76,0.149318,-0.667789,-0.727564,ULCER
-0.179283,-0.028565,-0.945523,0.08871,-0.943108,-0.987842,-0.490196,-0.688,-0.060282,-0.705298,-0.776206,ULCER
0.115538,-0.129452,-0.988864,1,-0.976528,-0.995431,-0.480392,-0.976,-0.995431,-0.878267,-0.934486,ULCER
-0.266932,-0.175919,-0.905929,-0.120968,-0.935302,-0.992009,-0.460784,-0.88,-0.634303,-0.772646,-0.798726,ULCER
-0.059761,-0.193135,-0.996247,0.096774,-0.995141,-0.997099,-0.529412,-0.968,-0.994751,-0.86301,-0.983323,ULCER
-0.14741,-0.03913,-0.977604,0,-0.982434,-0.991762,-0.460784,-0.616,-0.496729,-0.776123,-0.781693,ULCER
-0.370518,-0.276508,-0.96238,-0.274194,-0.967145,-0.98704,-0.519608,-0.72,-0.648716,-0.706294,-0.756864,ULCER
-0.298805,-0.271571,-0.970986,-0.209677,-0.9549,-0.991433,-0.54902,-0.832,-0.60765,-0.708753,-0.886706,ULCER
-0.290837,-0.069305,-0.943229,-0.129032,-0.941668,-0.977367,-0.45098,-0.424,0.267224,-0.700579,-0.767917,ULCER
