@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-6,8-40,42-54,56-77,79-84,86-121,124-129,131-158,160-185'

@attribute color_bgr_b_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_luv_u_contrast numeric
@attribute haralick_luv_u_energy numeric
@attribute haralick_luv_v_homogeneity numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.172691,-0.628571,0.311475,-0.99629,-0.383399,-0.864713,-0.831827,-0.558408,0.689193,-0.880082,NON_ULCER
-0.196787,-0.542857,0.057377,-0.998983,-0.462451,-0.971224,-0.650661,-0.636359,0.789686,-0.91849,NON_ULCER
-0.309237,-0.557143,-0.065574,-0.998758,-0.486166,-0.987357,-0.833955,-0.789613,0.702626,-0.958526,NON_ULCER
-0.309237,-0.514286,-0.172131,-0.998606,-0.422925,-0.989645,-0.886965,-0.859582,0.543765,-0.956225,NON_ULCER
-0.73494,-0.628571,-0.557377,-0.990858,-0.541502,-0.98338,-0.788207,-0.737645,0.58204,-0.937957,NON_ULCER
-0.686747,-0.6,-0.516393,-0.989492,-0.533597,-0.954904,-0.522486,-0.323898,0.772456,-0.905311,NON_ULCER
-0.13253,-0.5,0.057377,-0.995534,-0.422925,-0.789266,-0.680138,-0.200284,0.83292,-0.806932,NON_ULCER
0.100402,-0.585714,0.311475,-0.998434,-0.41502,-0.981617,-0.970937,-0.936732,0.526671,-0.981384,NON_ULCER
0.004016,-0.571429,0.122951,-0.990077,-0.367589,-0.893414,-0.855247,-0.631432,0.761614,-0.840368,NON_ULCER
-0.076305,-0.542857,0.081967,-0.993511,-0.41502,-0.845655,-0.894465,-0.762656,0.491585,-0.893015,NON_ULCER
-0.317269,-0.457143,-0.090164,-0.996314,-0.470356,-0.929618,-0.895528,-0.785579,0.735466,-0.912381,NON_ULCER
-0.646586,-0.585714,-0.418033,-0.99043,-0.557312,-0.976777,-0.869699,-0.766457,0.684416,-0.917213,NON_ULCER
-0.751004,-0.642857,-0.680328,-0.987671,-0.525692,-0.976364,-0.903145,-0.842394,0.481408,-0.952239,NON_ULCER
-0.429719,-0.457143,-0.163934,-0.997363,-0.509881,-0.987469,-0.935999,-0.890675,0.691126,-0.967295,NON_ULCER
0.02008,-0.528571,0.229508,-0.995294,-0.422925,-0.905569,-0.818449,-0.615552,0.854792,-0.914872,NON_ULCER
-0.558233,-0.485714,-0.360656,-0.985531,-0.517787,-0.978728,-0.974475,-0.92902,0.475204,-0.966202,NON_ULCER
-0.277108,-0.428571,-0.098361,-0.99672,-0.44664,-0.988932,-0.92187,-0.899957,0.591921,-0.625097,NON_ULCER
0.012048,-0.585714,0.237705,-0.996851,-0.422925,-0.911009,-0.822986,-0.66984,0.8375,-0.925409,NON_ULCER
0.036145,-0.542857,0.180328,-0.995331,-0.391304,-0.92883,-0.944346,-0.858522,0.659113,-0.933597,NON_ULCER
-0.028112,-0.542857,0.139344,-0.997793,-0.407115,-0.981954,-0.962777,-0.930625,0.711821,-0.974151,NON_ULCER
-0.823293,-0.642857,-0.762295,-0.760745,-0.652174,-0.825358,-0.81162,-0.425079,0.693045,-0.927543,NON_ULCER
-0.341365,-0.528571,-0.081967,-0.99896,-0.494071,-0.991971,-0.934297,-0.899082,0.575231,-0.978324,NON_ULCER
-0.365462,-0.542857,-0.106557,-0.998145,-0.494071,-0.964621,-0.649976,-0.461124,0.815758,-0.939312,NON_ULCER
-0.839357,-0.585714,-0.704918,-0.933333,-0.596838,-0.944662,-0.881668,-0.711677,0.788755,-0.881324,NON_ULCER
-0.309237,-0.457143,-0.065574,-0.996663,-0.478261,-0.937947,-0.63617,-0.386929,0.866502,-0.924877,NON_ULCER
0.24498,-0.614286,0.418033,-0.997829,-0.399209,-0.905382,-0.846586,-0.673335,0.724421,-0.902303,NON_ULCER
-0.060241,-0.485714,0.139344,-0.997015,-0.43083,-0.955242,-0.896193,-0.772739,0.585298,-0.949849,NON_ULCER
-0.461847,-0.5,-0.245902,-0.995365,-0.501976,-0.887261,-0.651938,-0.284517,0.850073,-0.874903,NON_ULCER
-0.293173,-0.471429,-0.07377,-0.993802,-0.470356,-0.982404,-0.9453,-0.887384,0.528002,-0.980261,NON_ULCER
-0.726908,-0.614286,-0.598361,-0.883859,-0.541502,-0.962971,-0.934285,-0.880782,0.571557,-0.913601,NON_ULCER
-0.477912,-0.428571,-0.262295,-0.994669,-0.494071,-0.95528,-0.908346,-0.788139,0.676784,-0.938824,NON_ULCER
-0.518072,-0.571429,-0.286885,-0.996093,-0.525692,-0.967773,-0.753079,-0.622583,0.617518,-0.923548,NON_ULCER
0.060241,-0.514286,0.180328,-0.988733,-0.383399,-0.782626,-0.943764,-0.841384,0.669994,-0.893198,NON_ULCER
-0.630522,-0.571429,-0.434426,-0.987195,-0.541502,-0.974001,-0.911113,-0.820832,0.426433,-0.931721,NON_ULCER
-0.365462,-0.314286,-0.155738,-0.958087,-0.557312,-0.797633,-0.902841,-0.617539,0.774663,-0.831884,NON_ULCER
-0.477912,-0.557143,-0.237705,-0.998631,-0.501976,-0.975126,-0.781993,-0.645864,0.684946,-0.949361,NON_ULCER
-0.445783,-0.528571,-0.229508,-0.998272,-0.509881,-0.98852,-0.881191,-0.857769,0.704468,-0.965102,NON_ULCER
-0.413655,-0.557143,-0.155738,-0.997866,-0.501976,-0.977827,-0.786742,-0.594021,0.619381,-0.952373,NON_ULCER
-0.13253,-0.485714,0.040984,-0.996648,-0.422925,-0.959557,-0.799355,-0.618115,0.800361,0.117035,NON_ULCER
-0.341365,-0.542857,-0.07377,-0.998215,-0.494071,-0.964659,-0.632523,-0.372866,0.723532,-0.947803,NON_ULCER
-0.413655,-0.485714,-0.204918,-0.991247,-0.501976,-0.977715,-0.9675,-0.929357,0.509572,-0.956468,NON_ULCER
-0.349398,-0.514286,-0.07377,-0.997685,-0.494071,-0.976252,-0.761112,-0.639221,0.663155,-0.951183,NON_ULCER
-0.228916,-0.442857,-0.040984,-0.994314,-0.44664,-0.954529,-0.893871,-0.771614,0.630803,-0.155756,NON_ULCER
-0.196787,-0.457143,0.008197,-0.997855,-0.422925,-0.980491,-0.944495,-0.881582,0.543188,-0.918666,NON_ULCER
-0.373494,-0.5,-0.122951,-0.995993,-0.494071,-0.958506,-0.683799,-0.429241,0.862342,-0.92941,NON_ULCER
-0.24498,-0.442857,-0.098361,-0.995101,-0.43083,-0.964471,-0.856029,-0.726176,0.599075,-0.891931,NON_ULCER
-0.349398,-0.4,-0.147541,-0.994732,-0.470356,-0.974076,-0.966093,-0.907425,0.524086,-0.579588,NON_ULCER
-0.116466,-0.485714,-0.016393,-0.997771,-0.41502,-0.987507,-0.961719,-0.93117,0.495197,-0.97297,NON_ULCER
-0.365462,-0.542857,-0.057377,-0.998745,-0.494071,-0.988145,-0.874142,-0.814832,0.741744,-0.970905,NON_ULCER
0.116466,-0.585714,0.270492,-0.992046,-0.399209,-0.948939,-0.906261,-0.720084,0.769822,-0.799795,ULCER
