@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-14,16-24,26,28-37,40-46,48-76,78-88,90-131,133-185'

@attribute color_bgr_r_intensity1 numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_lab_b_intensity1 numeric
@attribute color_lab_a_frequency2 numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_g_intensity2 numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.42623,0.251446,0.104049,-0.585714,-0.52,-0.284553,-0.992104,0.557895,-0.868171,-0.907245,NON_ULCER
-0.5,-0.648124,0.074268,-0.614286,-0.546667,-0.780488,-0.943765,0.452632,-0.94029,-0.906901,NON_ULCER
0.286885,0.090575,0.046005,-0.514286,-0.546667,-0.609756,-0.990721,0.473684,-0.843902,-0.858814,NON_ULCER
0.098361,-0.109796,0.203646,-0.528571,-0.466667,-0.406504,-0.982516,0.473684,-0.969851,-0.935196,NON_ULCER
0.172131,-0.143157,0.063523,-0.428571,-0.533333,-0.406504,-0.985204,0.347368,-0.912539,-0.526759,NON_ULCER
-0.508197,-0.601256,0.205548,-0.585714,-0.493333,-0.577236,-0.956994,0.347368,-0.899321,-0.856507,NON_ULCER
0.213115,-0.089318,0.275641,-0.471429,-0.453333,-0.455285,-0.9882,0.452632,-0.956522,-0.932303,NON_ULCER
-0.614754,-0.777591,0.022465,-0.642857,-0.573333,-0.382114,-0.81128,0.389474,-0.930455,-0.9338,NON_ULCER
0.352459,0.231677,-0.112866,-0.571429,-0.653333,-0.577236,-0.99219,0.515789,-0.699079,-0.838673,NON_ULCER
-0.245902,-0.346376,0.26954,-0.585714,-0.453333,-0.317073,-0.99321,0.494737,-0.953023,-0.882821,NON_ULCER
0.491803,0.335665,0.108771,-0.585714,-0.52,-0.430894,-0.995388,0.578947,-0.782823,-0.936525,NON_ULCER
0.352459,0.18214,0.088882,-0.528571,-0.533333,0.268293,-0.996956,0.494737,-0.769442,-0.915464,NON_ULCER
0.188525,-0.042043,0.129199,-0.457143,-0.506667,-0.552846,-0.982641,0.431579,-0.852569,-0.892217,NON_ULCER
-0.811475,-0.911922,-0.149397,-0.785714,-0.64,-0.666667,-0.829258,0.431579,-0.960466,-0.957319,NON_ULCER
0.065574,-0.161727,0.262723,-0.542857,-0.453333,-0.00813,-0.996885,0.494737,-0.971306,-0.906199,NON_ULCER
0.409836,0.254337,-0.065441,-0.542857,-0.586667,-0.642276,-0.989599,0.536842,-0.669844,-0.895179,NON_ULCER
0.303279,0.063217,-0.020301,-0.528571,-0.586667,-0.772358,-0.981018,0.473684,-0.82221,-0.904153,NON_ULCER
0.327869,0.084974,0.012597,-0.514286,-0.546667,-0.520325,-0.996816,0.473684,-0.890837,-0.965084,NON_ULCER
-0.540984,-0.657786,0.137171,-0.628571,-0.506667,-0.235772,-0.974622,0.452632,-0.953183,-0.923137,NON_ULCER
0.204918,-0.025077,0.078702,-0.457143,-0.533333,-0.699187,-0.979148,0.389474,-0.932636,-0.889311,NON_ULCER
-0.54918,-0.677113,0.026238,-0.642857,-0.56,-0.788618,-0.985176,0.473684,-0.987151,-0.959478,NON_ULCER
0.098361,-0.229896,0.244635,-0.357143,-0.453333,-0.357724,-0.968753,0.263158,-0.90376,0.124168,NON_ULCER
0.303279,0.123666,0.141832,-0.542857,-0.48,-0.203252,-0.997507,0.515789,-0.917418,-0.907491,NON_ULCER
0.213115,0.005761,0.230293,-0.542857,-0.48,-0.414634,-0.991565,0.515789,-0.955829,-0.919757,NON_ULCER
0.139344,-0.036364,0.254385,-0.542857,-0.453333,-0.268293,-0.995092,0.515789,-0.971812,-0.944855,NON_ULCER
0.409836,0.221229,0.050058,-0.557143,-0.546667,-0.178862,-0.995375,0.536842,-0.820744,-0.863869,NON_ULCER
-0.344262,-0.478165,0.125727,-0.6,-0.506667,-0.504065,-0.994342,0.473684,-0.978243,-0.943588,NON_ULCER
0.122951,-0.072469,-0.074698,-0.528571,-0.64,-0.487805,-0.989723,0.431579,-0.898395,-0.915422,NON_ULCER
-0.319672,-0.478181,0.17887,-0.6,-0.493333,-0.414634,-0.991736,0.473684,-0.946269,-0.8847,NON_ULCER
-0.213115,-0.332074,0.254587,-0.571429,-0.453333,-0.219512,-0.993035,0.494737,-0.944801,-0.917588,NON_ULCER
0.114754,-0.130294,-0.00192,-0.514286,-0.573333,0.121951,-0.996624,0.431579,-0.956284,-0.924279,NON_ULCER
0.040984,-0.165215,0.103223,-0.542857,-0.586667,-0.626016,-0.961036,0.431579,-0.928101,-0.918964,NON_ULCER
-0.081967,-0.327476,0.110124,-0.5,-0.573333,-0.520325,-0.942746,0.368421,-0.929323,-0.894265,NON_ULCER
0.155738,-0.011772,0.035659,-0.514286,-0.546667,-0.495935,-0.996152,0.452632,-0.935729,-0.819601,NON_ULCER
0.032787,-0.116389,0.112245,-0.428571,-0.533333,-0.447154,-0.984423,0.347368,-0.923149,-0.859255,NON_ULCER
0.336066,0.145484,-0.007795,-0.542857,-0.546667,-0.447154,-0.993321,0.515789,-0.866033,-0.793578,NON_ULCER
0.237705,0.049857,0.029499,-0.485714,-0.56,-0.146341,-0.992165,0.452632,-0.89596,-0.891542,NON_ULCER
0.147541,-0.026363,0.199349,-0.528571,-0.48,-0.02439,-0.996337,0.494737,-0.968092,-0.951735,NON_ULCER
0.155738,-0.105055,0.155231,-0.4,-0.506667,-0.593496,-0.980147,0.326316,-0.906403,0.123436,NON_ULCER
0.204918,0.101392,-0.02373,-0.5,-0.586667,-0.333333,-0.990214,0.431579,-0.849017,-0.919575,NON_ULCER
0.139344,-0.083084,0.207182,-0.542857,-0.466667,-0.390244,-0.982948,0.515789,-0.955019,-0.948633,NON_ULCER
0.213115,-0.022568,0.059956,-0.442857,-0.533333,-0.699187,-0.988676,0.368421,-0.967837,0.022152,NON_ULCER
0.147541,-0.068503,0.226332,-0.528571,-0.466667,-0.195122,-0.99251,0.473684,-0.969986,-0.928583,NON_ULCER
0.311475,0.084018,0.036729,-0.485714,-0.546667,-0.455285,-0.995611,0.452632,-0.973981,0.148492,NON_ULCER
0.155738,-0.052738,0.267729,-0.514286,-0.453333,-0.373984,-0.99487,0.494737,-0.982572,-0.942021,NON_ULCER
-0.139344,-0.302848,0.126028,-0.5,-0.52,-0.666667,-0.988017,0.368421,-0.876327,-0.871941,NON_ULCER
0.090164,-0.059963,0.273439,-0.542857,-0.453333,-0.349593,-0.997231,0.515789,-0.983201,-0.967328,NON_ULCER
0.213115,-0.014009,0.028209,-0.442857,-0.546667,-0.504065,-0.990001,0.368421,-0.98137,0.120333,NON_ULCER
0.07377,-0.108765,0.029115,-0.528571,-0.546667,-0.577236,-0.980753,0.452632,-0.66225,-0.778152,ULCER
0.139344,0.137296,-0.127175,-0.642857,-0.64,-0.447154,-0.996515,0.557895,-0.500637,-0.772479,ULCER
-0.090164,-0.148977,0.056111,-0.528571,-0.546667,-0.780488,-0.994294,0.431579,-0.948668,-0.957158,ULCER
-0.04918,-0.11761,-0.211957,-0.657143,-0.653333,-0.300813,-0.993523,0.557895,-0.41544,-0.786563,ULCER
-0.04918,-0.186412,-0.044846,-0.5,-0.586667,-0.691057,-0.971045,0.347368,-0.737096,-0.910522,ULCER
0.122951,0.046946,-0.241074,-0.685714,-0.68,-0.195122,-0.996997,0.6,-0.565785,-0.844798,ULCER
0.098361,0.116986,-0.219916,-0.7,-0.653333,-0.536585,-0.993811,0.6,-0.596649,-0.800111,ULCER
0,-0.160144,-0.094385,-0.571429,-0.613333,-0.609756,-0.984132,0.452632,-0.588226,-0.713259,ULCER
-0.04918,-0.052641,-0.222056,-0.685714,-0.68,-0.609756,-0.995849,0.578947,-0.716947,-0.818765,ULCER
0.409836,0.213125,-0.059776,-0.571429,-0.613333,-0.97561,-0.991629,0.515789,-0.479374,-0.730569,ULCER
0.663934,0.409857,-0.006477,-0.571429,-0.56,-0.853659,-0.991978,0.536842,-0.808431,-0.846531,ULCER
0.131148,0.142845,-0.032269,-0.6,-0.586667,-0.878049,-0.995303,0.536842,-0.891741,-0.936724,ULCER
0.303279,0.344039,-0.270693,-0.714286,-0.693333,-0.699187,-0.997988,0.621053,-0.813471,-0.902065,ULCER
0.418033,0.339847,-0.186645,-0.642857,-0.653333,-0.707317,-0.997377,0.6,-0.629786,-0.821215,ULCER
-0.040984,-0.081193,-0.014687,-0.614286,-0.586667,-0.577236,-0.979599,0.515789,-0.552478,-0.882103,ULCER
0.213115,0.244488,-0.206731,-0.671429,-0.666667,-0.634146,-0.995855,0.6,-0.662036,-0.814458,ULCER
0.295082,0.260701,-0.105555,-0.642857,-0.613333,-0.455285,-0.99332,0.578947,-0.499356,-0.731468,ULCER
0.352459,0.2134,-0.088626,-0.614286,-0.613333,-0.796748,-0.998806,0.557895,-0.921175,-0.935031,ULCER
0.098361,-0.01953,0.016941,-0.628571,-0.546667,-0.300813,-0.98517,0.473684,-0.617413,-0.810912,ULCER
0.278689,0.232044,-0.203586,-0.671429,-0.653333,-0.869919,-0.992144,0.6,-0.831775,-0.856535,ULCER
0.42623,0.35857,-0.053777,-0.585714,-0.586667,-0.821138,-0.994017,0.557895,-0.797537,-0.849699,ULCER
0.040984,0.112371,-0.170145,-0.628571,-0.653333,-0.788618,-0.987336,0.515789,-0.775028,-0.873675,ULCER
0.393443,0.167653,-0.041259,-0.557143,-0.6,-0.910569,-0.973124,0.515789,-0.52026,-0.897356,ULCER
0.065574,-0.074085,-0.016235,-0.557143,-0.546667,-0.837398,-0.973569,0.494737,-0.635745,-0.764653,ULCER
-0.07377,-0.230107,0.090564,-0.585714,-0.573333,-0.617886,-0.976912,0.452632,-0.818625,-0.845221,ULCER
0.344262,0.037952,0.062079,-0.414286,-0.533333,-0.780488,-0.977059,0.389474,-0.802033,-0.931919,ULCER
0.278689,0.089387,-0.08242,-0.571429,-0.6,-0.96748,-0.995189,0.515789,-0.858824,-0.913823,ULCER
0.196721,-0.021411,0.056349,-0.6,-0.533333,-0.536585,-0.948883,0.452632,-0.747981,-0.796827,ULCER
-0.122951,-0.101569,-0.147861,-0.642857,-0.64,-0.170732,-0.989326,0.515789,-0.240352,-0.756205,ULCER
0.213115,0.140199,0.011944,-0.614286,-0.56,-0.479675,-0.996308,0.557895,-0.706128,-0.884984,ULCER
0.090164,-0.058646,-0.009,-0.557143,-0.56,-0.422764,-0.986057,0.473684,-0.692089,-0.799271,ULCER
0.07377,-0.022393,0.080879,-0.585714,-0.533333,-0.96748,-0.978766,0.557895,-0.441308,-0.84736,ULCER
0.286885,0.129635,-0.051282,-0.557143,-0.586667,-0.487805,-0.992763,0.494737,-0.642874,-0.809168,ULCER
0.188525,-0.018423,-0.040474,-0.5,-0.586667,-0.121951,-0.98921,0.431579,-0.785839,-0.879094,ULCER
-0.237705,-0.275687,-0.135734,-0.642857,-0.64,-0.626016,-0.971644,0.431579,0.186967,-0.616204,ULCER
-0.270492,-0.272936,-0.103938,-0.6,-0.6,-0.609756,-0.98995,0.452632,-0.778966,-0.853319,ULCER
