@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-41,43-72,75-77,79-103,105-130,132-146,148-158,160-185'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_b_intensity2 numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_entropy numeric
@attribute haralick_luv_v_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.481172,-0.546667,0.140765,0.565034,-0.995384,0.610443,-0.381338,-0.881343,0.801412,-0.912126,NON_ULCER
0.188285,-0.466667,0.054236,0.475825,-0.979444,0.530025,-0.435332,-0.865816,0.616831,-0.882963,NON_ULCER
0.389121,-0.546667,0.111617,0.511105,-0.987003,0.687422,-0.150901,-0.808665,0.846704,-0.836092,NON_ULCER
0.313808,-0.64,0.192649,0.440638,-0.989335,0.745043,-0.580985,-0.751429,0.67277,-0.913458,NON_ULCER
0.121339,-0.506667,-0.06859,0.261763,-0.988983,0.555352,-0.547791,-0.9127,0.649665,-0.366182,NON_ULCER
0.39749,-0.533333,0.1171,0.53128,-0.988247,0.670858,-0.497602,-0.87634,0.680542,-0.891436,NON_ULCER
0.238494,-0.506667,0.047333,0.461425,-0.996,0.436272,-0.185237,-0.910544,0.799864,-0.90053,NON_ULCER
0.313808,-0.586667,0.111539,0.461418,-0.969136,0.703097,-0.47759,-0.73534,0.512256,-0.882545,NON_ULCER
-0.305439,-0.506667,-0.092122,0.502996,-0.990724,0.482401,-0.425044,-0.942073,0.723644,-0.920071,NON_ULCER
-0.380753,-0.52,-0.120861,0.49464,-0.99435,0.194184,-0.338051,-0.935302,0.684842,-0.940486,NON_ULCER
-0.48954,-0.52,-0.185098,0.470626,-0.99022,0.277767,-0.386217,-0.910112,0.820276,-0.945483,NON_ULCER
0.004184,-0.56,0.087872,0.438117,-0.997758,0.463869,-0.665552,-0.96131,0.738098,-0.943113,NON_ULCER
-0.196653,-0.453333,-0.111796,0.521079,-0.992012,0.545548,-0.284914,-0.919903,0.791524,-0.900151,NON_ULCER
0.246862,-0.546667,0.122933,0.477764,-0.994807,0.561126,-0.136425,-0.887123,0.881663,-0.835739,NON_ULCER
0.372385,-0.546667,0.115498,0.505279,-0.988641,0.692894,-0.11079,-0.85706,0.818539,-0.792341,NON_ULCER
0.171548,-0.493333,-0.019844,0.333395,-0.987506,0.606517,-0.648497,-0.898855,0.636194,-0.637063,NON_ULCER
0.112971,-0.453333,-0.105744,0.295339,-0.973313,0.638733,-0.703295,-0.927883,0.730828,0.110966,NON_ULCER
0.205021,-0.493333,0.028198,0.477181,-0.996561,0.36881,-0.23369,-0.932369,0.848012,-0.921055,NON_ULCER
0.154812,-0.56,0.13916,0.464501,-0.977679,0.692033,-0.268947,-0.86849,0.534722,-0.770361,NON_ULCER
0.364017,-0.533333,0.101542,0.429734,-0.983856,0.640519,-0.134984,-0.904246,0.794451,-0.841595,NON_ULCER
0.179916,-0.52,0.033468,0.339403,-0.98357,0.613863,-0.712451,-0.930255,0.672727,-0.427483,NON_ULCER
0.138075,-0.466667,-0.004264,0.493656,-0.997079,0.288869,-0.231045,-0.939874,0.836586,-0.966012,NON_ULCER
0.213389,-0.573333,0.129673,0.444045,-0.992319,0.582154,-0.12981,-0.876901,0.825238,-0.907347,NON_ULCER
0.205021,-0.52,0.017139,0.363642,-0.992782,0.584877,-0.761687,-0.952555,0.740787,0.225275,NON_ULCER
0.121339,-0.48,0.009271,0.496901,-0.99696,0.271212,-0.244445,-0.94134,0.80216,-0.901766,NON_ULCER
0.07113,-0.493333,-0.040778,0.335639,-0.994432,0.61704,-0.848444,-0.956393,0.677102,-0.943616,NON_ULCER
0.263598,-0.56,0.130054,0.457552,-0.990692,0.556009,-0.169311,-0.893248,0.826877,-0.045774,NON_ULCER
0.129707,-0.466667,-0.019899,0.502394,-0.993381,0.347001,-0.209801,-0.94272,0.759719,-0.940254,NON_ULCER
0.07113,-0.466667,-0.028425,0.528962,-0.997794,0.165937,-0.187383,-0.948586,0.559035,-0.935423,NON_ULCER
0.146444,-0.453333,-0.000765,0.463547,-0.985631,0.444546,-0.208269,-0.82622,0.707262,-0.907196,NON_ULCER
-0.179916,-0.586667,0.164169,0.493969,-0.964896,0.744748,-0.47644,-0.885053,0.763251,-0.738634,ULCER
-0.104603,-0.626667,0.215628,0.57628,-0.990279,0.813674,-0.42797,-0.931247,0.821317,-0.81504,ULCER
-0.179916,-0.613333,0.191746,0.520266,-0.979902,0.694782,-0.485195,-0.927495,0.813667,-0.796284,ULCER
0.096234,-0.546667,0.124128,0.509482,-0.983573,0.760517,-0.29986,-0.920723,0.790959,-0.777764,ULCER
0.230126,-0.533333,0.082829,0.461268,-0.997385,0.58901,-0.168786,-0.899976,0.76221,-0.845729,ULCER
