@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-24,26-31,33-48,50-72,74,76-77,79-101,103-115,117-127,129-137,139-146,148,150-166,168,170,172-174,176-185'

@attribute color_bgr_b_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_r_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_a_correlation numeric
@attribute haralick_luv_v_energy numeric
@attribute haralick_bgr_br_energy numeric
@attribute haralick_lab_ab_contrast numeric
@attribute haralick_lab_ab_entropy numeric
@attribute lbph_bgr_r_entropy numeric
@attribute wavelet_bgr_b_3_lh_entropy numeric
@attribute wavelet_bgr_b_3_hl_entropy numeric
@attribute wavelet_bgr_g_3_lh_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.12407,0.350239,0,0.34945,0.096829,-0.45773,-0.9967,-0.939086,-0.955208,-0.817595,-0.91762,-0.905139,0.914902,0.809905,0.239871,0.239935,0.239807,-0.912742,NON_ULCER
0.169685,0.392415,-0.15625,0.391903,0.109647,-0.480965,-0.998086,-0.941043,-0.946497,-0.793311,-0.906201,-0.904817,0.88514,0.824408,0.278708,0.278774,0.278643,-0.935786,NON_ULCER
-0.376314,-0.081178,0,-0.082312,-0.073094,-0.331771,-0.99886,-0.995212,-0.960066,-0.392678,-0.86115,-0.980075,0.864017,0.634918,0.215325,0.215387,0.215263,-0.974128,NON_ULCER
0.10343,0.340891,-0.125,0.339776,0.094277,-0.472821,-0.999032,-0.982045,-0.96666,-0.831464,-0.903711,-0.95782,0.910823,0.817342,0.185204,0.185265,0.185143,-0.947942,NON_ULCER
-0.369639,-0.081903,0,-0.081857,-0.065146,-0.338006,-0.999038,-0.994214,-0.954397,-0.592364,-0.859089,-0.96961,0.87275,0.514557,0.24175,0.241814,0.241687,-0.961188,NON_ULCER
0.040387,0.276525,-0.125,0.2753,0.085344,-0.459633,-0.997327,-0.961014,-0.964895,-0.874919,-0.926704,-0.933594,0.922665,0.761844,0.194124,0.194186,0.194063,-0.908609,NON_ULCER
-0.323387,-0.107554,0.15625,-0.108586,0.001496,-0.314834,-0.986937,-0.929304,-0.918473,-0.649347,-0.894024,-0.859411,0.871374,0.842786,0.349167,0.349237,0.349098,-0.465555,NON_ULCER
-0.443841,-0.176976,0.0625,-0.178015,-0.08201,-0.29772,-0.998715,-0.992849,-0.964822,-0.785092,-0.867657,-0.959217,0.917926,0.529642,0.187459,0.18752,0.187398,-0.930588,NON_ULCER
-0.483487,-0.27625,0.09375,-0.276773,-0.049821,-0.2741,-0.994415,-0.951769,-0.943865,-0.702775,-0.911379,-0.890231,0.903557,0.778116,0.277048,0.277114,0.276983,-0.8383,NON_ULCER
-0.386067,-0.086926,0.15625,-0.087505,-0.09185,-0.285812,-0.994838,-0.983395,-0.958362,-0.829182,-0.89898,-0.945062,0.914353,0.794547,0.217365,0.217427,0.217302,-0.93657,NON_ULCER
